# stid, lon, lat, ec_ncep_cc, ec_cma_cc, ec_jp_cc, ncep_cma_cc, ncep_jp_cc, cma_jp_cc
50136 122.5200 52.9700  0.5668  0.6429  0.5519  0.6869  0.5427  0.8361
50137 122.3700 53.4700  0.6854  0.7402  0.6347  0.7222  0.5700  0.8396
50246 124.7200 52.3500  0.5651  0.6972  0.5991  0.6405  0.5117  0.8443
50247 123.5700 52.0300  0.7336  0.8122  0.6805  0.7628  0.6372  0.8569
50349 124.4000 51.6700  0.5767  0.7340  0.5977  0.6936  0.5462  0.8159
50353 126.6300 51.7300  0.7039  0.7773  0.6917  0.7622  0.6344  0.8792
50425 120.1800 50.2500  0.5224  0.7973  0.7861  0.4810  0.4286  0.9348
50431 121.5200 50.7800  0.5479  0.7539  0.6432  0.5774  0.4440  0.8283
50434 121.6800 50.4800  0.5876  0.7491  0.6155  0.5837  0.4386  0.7990
50442 124.1200 50.4000  0.5842  0.6752  0.5676  0.6163  0.4795  0.8547
50445 123.7300 50.5800  0.5889  0.6646  0.5362  0.6350  0.4802  0.8172
50468 127.4500 50.2500  0.5561  0.6311  0.6337  0.6122  0.5270  0.8973
50514 117.3200 49.5800  0.5961  0.7756  0.6934  0.5767  0.4391  0.8755
50524 119.4300 49.3200  0.4045  0.7481  0.7077  0.4987  0.4216  0.9118
50525 119.7500 49.1500  0.3103  0.7129  0.6597  0.4499  0.3713  0.9022
50526 120.7000 49.2800  0.4096  0.6965  0.6313  0.4111  0.3657  0.9251
50527 119.7000 49.2500  0.3441  0.7053  0.6653  0.4747  0.4135  0.9051
50548 123.7200 49.2000  0.6602  0.7851  0.7422  0.7131  0.6426  0.9391
50557 125.2300 49.1700  0.5842  0.6815  0.6796  0.5470  0.4736  0.9185
50564 127.3500 49.4300  0.5619  0.6836  0.6381  0.6042  0.4978  0.8929
50566 128.4700 49.5500  0.5030  0.6010  0.5954  0.5807  0.5157  0.9162
50603 116.8200 48.6700  0.6261  0.7217  0.6194  0.5996  0.4674  0.8375
50618 118.2700 48.2200  0.4796  0.7183  0.7225  0.5321  0.4122  0.9235
50632 121.9200 48.7700  0.5651  0.6841  0.6430  0.5888  0.5318  0.9202
50639 122.7300 48.0000  0.5021  0.5934  0.5721  0.4648  0.4278  0.8994
50645 124.4800 48.4800  0.5514  0.7100  0.6869  0.4761  0.3980  0.8984
50646 124.8500 48.4800  0.4769  0.6819  0.6771  0.4441  0.3817  0.8946
50647 123.4800 48.1300  0.5592  0.6634  0.6083  0.4772  0.4267  0.8944
50655 126.1800 48.5000  0.5125  0.7030  0.7048  0.4863  0.4300  0.9033
50656 126.5000 48.2700  0.4982  0.6942  0.7119  0.5209  0.4606  0.9044
50658 125.8800 48.0500  0.4531  0.6252  0.6420  0.4366  0.3399  0.8668
50659 126.2500 48.0300  0.4821  0.5713  0.6035  0.4685  0.3722  0.8729
50673 130.4000 48.8800  0.5613  0.6242  0.5981  0.5984  0.5021  0.8948
50674 129.4300 48.5700  0.6594  0.6757  0.5462  0.5729  0.4476  0.8058
50727 119.9300 47.1700  0.5977  0.7276  0.6654  0.6188  0.5546  0.9411
50739 123.1800 47.3300  0.6194  0.6977  0.6314  0.4719  0.4041  0.8821
50741 123.5000 47.9300  0.5964  0.6519  0.5808  0.4426  0.3939  0.8796
50742 124.4800 47.8000  0.5711  0.6825  0.6233  0.4313  0.3216  0.8406
50745 123.9200 47.3800  0.5451  0.6396  0.5922  0.4513  0.3703  0.8827
50749 124.8300 47.1800  0.4974  0.5826  0.5444  0.3592  0.2369  0.8225
50750 125.3000 47.9000  0.4521  0.5884  0.5708  0.3802  0.2409  0.8346
50755 126.1000 47.6000  0.5370  0.6817  0.6937  0.4827  0.3821  0.8844
50756 126.9700 47.4500  0.5818  0.7414  0.7329  0.5506  0.4556  0.8973
50758 125.9000 47.1800  0.5311  0.7264  0.7125  0.5395  0.4219  0.8756
50767 127.1000 47.2300  0.5830  0.6969  0.6720  0.5235  0.4120  0.8787
50772 129.2300 48.1000  0.5924  0.6989  0.5892  0.6214  0.5162  0.8368
50774 128.8300 47.7000  0.6487  0.6708  0.5897  0.6671  0.5925  0.8696
50775 130.2700 47.3300  0.6101  0.6649  0.6545  0.6693  0.5970  0.9100
50776 130.8300 47.5700  0.5458  0.6068  0.6041  0.6382  0.5448  0.8994
50778 132.5300 47.6700  0.4568  0.4949  0.4722  0.4127  0.2959  0.8503
50779 134.2800 48.3700  0.3735  0.4724  0.4118  0.3385  0.1583  0.7915
50787 131.8500 47.2800  0.4629  0.5820  0.5481  0.5235  0.4237  0.8810
50788 131.9800 47.2300  0.4467  0.5546  0.5366  0.4856  0.4002  0.8796
50832 122.0800 46.7200  0.5146  0.6516  0.6028  0.4522  0.4187  0.8919
50833 122.9000 46.7200  0.4981  0.6714  0.6147  0.4657  0.3903  0.8562
50834 121.2200 46.6000  0.5312  0.6964  0.6590  0.5960  0.5452  0.9289
50838 122.0500 46.0800  0.5248  0.6748  0.5826  0.4496  0.3644  0.8662
50842 124.4200 46.8300  0.5220  0.6401  0.6083  0.4813  0.3963  0.8978
50844 123.4500 46.4000  0.5684  0.6727  0.6008  0.5048  0.4060  0.8490
50850 125.1300 46.5700  0.5352  0.6784  0.6377  0.4981  0.3999  0.9174
50851 126.0800 46.6800  0.6075  0.7220  0.6705  0.5520  0.4174  0.8692
50852 126.4500 46.8300  0.5495  0.7087  0.6360  0.5307  0.3732  0.8578
50853 126.9700 46.6200  0.4995  0.6664  0.6037  0.5014  0.3347  0.8452
50854 125.3200 46.3800  0.5291  0.6137  0.5724  0.4790  0.3853  0.9182
50858 125.9300 46.0700  0.4971  0.6365  0.5978  0.4005  0.2921  0.8729
50859 126.2700 46.2500  0.4841  0.6532  0.6056  0.4199  0.2796  0.8504
50861 127.4800 46.8800  0.5772  0.6803  0.6355  0.5784  0.4618  0.8803
50862 127.9800 46.9800  0.5098  0.6853  0.6294  0.5685  0.4751  0.9002
50867 127.3500 46.0800  0.4210  0.5711  0.5044  0.4795  0.3114  0.8564
50871 129.8800 46.7300  0.5840  0.7162  0.6634  0.6494  0.5932  0.9291
50873 130.3000 46.7800  0.6008  0.6937  0.6575  0.6694  0.5983  0.9268
