# stid, lon, lat, ec_ncep_cc, ec_cma_cc, ec_jp_cc, ncep_cma_cc, ncep_jp_cc, cma_jp_cc
50136 122.5200 52.9700  0.6800  0.8089  0.8053  0.7153  0.6202  0.9147
50137 122.3700 53.4700  0.6972  0.8505  0.8043  0.6928  0.5691  0.9054
50246 124.7200 52.3500  0.7199  0.8215  0.7617  0.7327  0.6269  0.9202
50247 123.5700 52.0300  0.7729  0.8344  0.7873  0.8244  0.7564  0.9290
50349 124.4000 51.6700  0.7854  0.8297  0.7727  0.8512  0.7857  0.9353
50353 126.6300 51.7300  0.7348  0.8216  0.8081  0.7361  0.6425  0.9125
50425 120.1800 50.2500  0.3656  0.7944  0.7660  0.2989  0.2723  0.9434
50431 121.5200 50.7800  0.6557  0.7732  0.7526  0.5809  0.5103  0.9389
50434 121.6800 50.4800  0.7560  0.8596  0.8451  0.7099  0.6643  0.9652
50442 124.1200 50.4000  0.6592  0.7857  0.7230  0.6884  0.5959  0.9338
50445 123.7300 50.5800  0.6759  0.7406  0.6661  0.6475  0.5532  0.9257
50468 127.4500 50.2500  0.4708  0.7050  0.7123  0.3997  0.3187  0.9147
50514 117.3200 49.5800  0.6576  0.8376  0.8176  0.6717  0.6902  0.9858
50524 119.4300 49.3200  0.5026  0.7540  0.7423  0.4573  0.4944  0.9823
50525 119.7500 49.1500  0.3200  0.6021  0.5972  0.2599  0.2991  0.9679
50526 120.7000 49.2800  0.4851  0.8113  0.7687  0.4573  0.4674  0.9699
50527 119.7000 49.2500  0.3664  0.5160  0.5259  0.2161  0.2873  0.9657
50548 123.7200 49.2000  0.6649  0.8149  0.7771  0.6433  0.5741  0.9467
50557 125.2300 49.1700  0.4035  0.7483  0.7228  0.3698  0.3381  0.9441
50564 127.3500 49.4300  0.5050  0.6834  0.6353  0.5689  0.4925  0.9143
50566 128.4700 49.5500  0.4420  0.6693  0.6366  0.3615  0.3176  0.9212
50603 116.8200 48.6700  0.5282  0.6379  0.4984  0.5705  0.5623  0.8920
50618 118.2700 48.2200  0.4766  0.6358  0.5860  0.4389  0.4887  0.9499
50632 121.9200 48.7700  0.7047  0.7406  0.7048  0.6084  0.5392  0.9504
50639 122.7300 48.0000  0.6327  0.7924  0.6689  0.6624  0.6439  0.8787
50645 124.4800 48.4800  0.5757  0.7118  0.6985  0.5129  0.4627  0.9299
50646 124.8500 48.4800  0.2463  0.4898  0.4844  0.1278  0.0836  0.9321
50647 123.4800 48.1300  0.5031  0.4192  0.4371  0.4319  0.4241  0.8713
50655 126.1800 48.5000  0.5724  0.8360  0.8327  0.4951  0.4634  0.9758
50656 126.5000 48.2700  0.3059  0.6769  0.6645  0.1522  0.1088  0.9564
50658 125.8800 48.0500  0.2852  0.4779  0.4635  0.0290 -0.0209  0.9210
50659 126.2500 48.0300  0.4140  0.4575  0.4468  0.0437 -0.0063  0.9312
50673 130.4000 48.8800  0.6534  0.8077  0.7894  0.5984  0.5500  0.9421
50674 129.4300 48.5700  0.8170  0.8168  0.7880  0.8179  0.7835  0.9753
50727 119.9300 47.1700  0.7925  0.8526  0.7858  0.7566  0.7336  0.9433
50739 123.1800 47.3300  0.3981  0.5346  0.4345  0.4165  0.3743  0.8683
50741 123.5000 47.9300  0.5199  0.5156  0.5148  0.4959  0.4599  0.8731
50742 124.4800 47.8000  0.5333  0.5206  0.5105  0.3910  0.4041  0.8941
50745 123.9200 47.3800  0.4769  0.5972  0.5585  0.4582  0.4262  0.9142
50749 124.8300 47.1800  0.4878  0.5728  0.5442  0.3349  0.3345  0.9086
50750 125.3000 47.9000  0.2813  0.4754  0.4600  0.0868  0.0307  0.9137
50755 126.1000 47.6000  0.3518  0.5642  0.5542  0.1922  0.1482  0.9221
50756 126.9700 47.4500  0.3168  0.7254  0.6708  0.2344  0.2488  0.9368
50758 125.9000 47.1800  0.2990  0.6652  0.5865  0.2070  0.1619  0.8928
50767 127.1000 47.2300  0.3194  0.7088  0.6399  0.2431  0.2907  0.9323
50772 129.2300 48.1000  0.7491  0.7170  0.6855  0.7103  0.6450  0.9438
50774 128.8300 47.7000  0.6569  0.6514  0.6092  0.6502  0.6003  0.9453
50775 130.2700 47.3300  0.7551  0.8301  0.8193  0.7326  0.7050  0.9719
50776 130.8300 47.5700  0.3955  0.5967  0.6076  0.4162  0.3573  0.9371
50778 132.5300 47.6700  0.5061  0.4809  0.4537  0.2683  0.2427  0.9205
50779 134.2800 48.3700  0.6543  0.7745  0.7453  0.5683  0.5625  0.9298
50787 131.8500 47.2800  0.5273  0.7319  0.6916  0.3670  0.3365  0.9525
50788 131.9800 47.2300  0.5183  0.5830  0.5554  0.3163  0.3235  0.9428
50832 122.0800 46.7200  0.7710  0.8853  0.8343  0.7864  0.7582  0.9364
50833 122.9000 46.7200  0.4153  0.5873  0.5053  0.4416  0.3556  0.8687
50834 121.2200 46.6000  0.5967  0.7377  0.6401  0.6484  0.6087  0.8518
50838 122.0500 46.0800  0.5188  0.6302  0.5690  0.6524  0.6206  0.9180
50842 124.4200 46.8300  0.4398  0.5171  0.5050  0.3277  0.3954  0.8850
50844 123.4500 46.4000  0.5851  0.7437  0.6997  0.6042  0.5578  0.9379
50850 125.1300 46.5700  0.4178  0.5734  0.5569  0.2328  0.3537  0.8535
50851 126.0800 46.6800  0.4860  0.7028  0.6364  0.3658  0.3321  0.8916
50852 126.4500 46.8300  0.3637  0.6568  0.5849  0.2734  0.2418  0.9044
50853 126.9700 46.6200  0.3090  0.4457  0.3780  0.0373  0.0820  0.8732
50854 125.3200 46.3800  0.4299  0.6844  0.6453  0.3553  0.4008  0.9053
50858 125.9300 46.0700  0.6066  0.8176  0.7431  0.6027  0.5709  0.9262
50859 126.2700 46.2500  0.5136  0.7977  0.7252  0.4997  0.4826  0.9114
50861 127.4800 46.8800  0.6043  0.7762  0.7640  0.4771  0.5550  0.9496
50862 127.9800 46.9800  0.4935  0.5745  0.5561  0.3425  0.4669  0.9074
50867 127.3500 46.0800  0.4897  0.7396  0.6941  0.3720  0.3501  0.9453
50871 129.8800 46.7300  0.6369  0.7060  0.6516  0.5572  0.5815  0.9137
50873 130.3000 46.7800  0.7903  0.8272  0.8421  0.7196  0.7432  0.9545
50877 129.5800 46.3000  0.6432  0.7124  0.6663  0.5669  0.5971  0.9171
50878 130.7200 47.0000  0.5261  0.6899  0.6944  0.4082  0.4365  0.9397
50879 130.5500 46.2200  0.5402  0.7049  0.6671  0.3570  0.4492  0.9048
50880 131.1200 46.7300  0.6973  0.7543  0.7288  0.6356  0.6403  0.9441
50884 131.1500 46.6300  0.5918  0.6408  0.5853  0.5266  0.5182  0.9194
50888 132.1800 46.3200  0.7892  0.7967  0.7841  0.7474  0.7464  0.9752
50892 134.0000 46.8000  0.7044  0.7668  0.7369  0.6477  0.5855  0.9139
50913 118.8300 45.7200  0.2066  0.7259  0.6154  0.2142  0.2945  0.9073
50915 116.9700 45.5200  0.6696  0.7040  0.6639  0.5794  0.6384  0.9239
50924 119.6700 45.5300  0.3580  0.7735  0.7171  0.3155  0.3553  0.9363
50928 120.3300 45.0700  0.7600  0.8699  0.7895  0.7290  0.6727  0.8995
50934 121.5800 45.3800  0.5336  0.6879  0.5503  0.6306  0.5477  0.8014
50936 122.8300 45.6300  0.5032  0.6187  0.5804  0.6684  0.6551  0.9468
50937 121.4700 45.0500  0.4591  0.6086  0.4265  0.6181  0.4927  0.7834
50939 122.8200 45.3300  0.4969  0.6740  0.6407  0.6193  0.6415  0.9462
50940 123.1700 45.8500  0.4712  0.5854  0.5299  0.6090  0.6567  0.9136
50945 124.2700 45.5000  0.4677  0.5617  0.5409  0.3161  0.2598  0.9321
50946 124.8300 45.1800  0.4605  0.6194  0.5736  0.4082  0.3671  0.9086
50948 124.0200 45.0000  0.4823  0.4133  0.4953  0.1897  0.3676  0.8469
50949 124.8700 45.0800  0.4528  0.5898  0.5446  0.3815  0.3566  0.9097
50950 125.2500 45.7000  0.4558  0.7108  0.6827  0.3905  0.4591  0.9212
50953 126.5700 45.9300  0.5663  0.6625  0.6427  0.4054  0.3973  0.9214
50954 125.0800 45.5000  0.4406  0.5637  0.5475  0.3276  0.3397  0.9095
50955 126.3000 45.3800  0.5904  0.8112  0.7712  0.5119  0.5041  0.9476
50956 126.7700 46.0800  0.4514  0.7208  0.6830  0.3827  0.3740  0.9424
50958 126.9500 45.5200  0.5672  0.7779  0.7399  0.4374  0.4124  0.9520
50960 127.4500 45.7800  0.7008  0.8621  0.8186  0.7116  0.6631  0.9544
50962 128.0300 45.9500  0.7317  0.8091  0.7801  0.6462  0.6182  0.9619
50963 128.7300 45.9700  0.4518  0.6922  0.6600  0.3800  0.3503  0.9162
50964 128.8000 45.8300  0.4791  0.6235  0.5768  0.4241  0.3945  0.9165
50965 128.2800 45.4500  0.5264  0.8089  0.7663  0.4721  0.4067  0.9367
50968 127.9700 45.2200  0.5171  0.7262  0.6625  0.3655  0.2717  0.9098
50971 131.0200 45.7700  0.8064  0.8517  0.8391  0.7208  0.7132  0.9660
50973 130.6000 45.7500  0.6481  0.6714  0.6527  0.5908  0.5746  0.9179
50978 130.9200 45.3000  0.5160  0.5382  0.4642  0.3799  0.3036  0.8946
50979 130.2300 45.2700  0.6792  0.7717  0.7491  0.6285  0.6086  0.9331
50983 132.9700 45.7700  0.5252  0.4975  0.4730  0.3724  0.4564  0.9211
50985 131.8700 45.5500  0.6040  0.5270  0.4863  0.4813  0.4521  0.9303
50987 131.1000 45.2700  0.5603  0.6235  0.5685  0.4028  0.3595  0.9215
51053  86.4000 48.0500  0.4743  0.6185  0.5762  0.5336  0.5393  0.9326
51058  87.9700 47.1000  0.6311  0.6967  0.5988  0.6360  0.5168  0.8368
51059  85.8700 47.4300  0.4902  0.5797  0.5618  0.6330  0.6408  0.9775
51060  86.8700 47.7000  0.7667  0.8097  0.7747  0.7507  0.7160  0.9362
51068  87.4700 47.1200  0.5418  0.6742  0.6861  0.5233  0.5709  0.9644
51076  88.0800 47.7300  0.5777  0.7208  0.6418  0.6958  0.7094  0.9629
51087  89.5200 46.9800  0.6595  0.7139  0.6067  0.6295  0.5310  0.8993
51133  83.0000 46.7300  0.4606  0.6252  0.5999  0.4867  0.4987  0.9315
51137  82.9300 46.2000  0.5614  0.6810  0.6137  0.6482  0.6535  0.9091
51145  83.6500 46.5500  0.4067  0.5999  0.5849  0.5249  0.5051  0.9598
51156  85.7200 46.7800  0.5881  0.6086  0.4780  0.6266  0.6178  0.8284
51186  90.3800 46.6700  0.7858  0.8637  0.7982  0.8024  0.7624  0.9571
51232  82.5700 45.1800  0.6155  0.6858  0.6583  0.6325  0.6486  0.9452
51238  82.0700 44.9000  0.7174  0.7953  0.7714  0.7260  0.7510  0.9537
51241  83.6000 45.9300  0.6989  0.7597  0.7409  0.6211  0.6257  0.9688
51243  84.8500 45.6200  0.6038  0.6956  0.6704  0.6647  0.6584  0.9759
51288  90.5300 45.3700  0.3734  0.4724  0.3500  0.4992  0.2680  0.7305
51328  80.4200 44.2000  0.5672  0.6287  0.5821  0.6426  0.6048  0.9521
51329  80.8500 44.0500  0.4256  0.6632  0.4972  0.4529  0.3140  0.8491
51330  81.0200 44.9700  0.7792  0.7509  0.6970  0.8161  0.7565  0.9339
51334  82.9000 44.6000  0.6551  0.7081  0.6756  0.6658  0.7346  0.9531
51346  84.6700 44.4300  0.6126  0.8030  0.7865  0.6403  0.6459  0.9696
51352  85.2500 44.8500  0.5872  0.6093  0.5224  0.6359  0.4574  0.8643
51353  86.1000 45.0200  0.5391  0.6315  0.5254  0.6217  0.3427  0.8348
