# stid, lon, lat, ec_ncep_cc, ec_cma_cc, ec_jp_cc, ncep_cma_cc, ncep_jp_cc, cma_jp_cc
50136 122.5200 52.9700  0.6163  0.7349  0.6945  0.5851  0.5407  0.9313
50137 122.3700 53.4700  0.6252  0.7225  0.6749  0.6476  0.5810  0.9301
50246 124.7200 52.3500  0.6098  0.6864  0.6354  0.5834  0.5274  0.9249
50247 123.5700 52.0300  0.7086  0.7700  0.7270  0.6567  0.6166  0.9268
50349 124.4000 51.6700  0.6490  0.6812  0.6410  0.5929  0.5487  0.9148
50353 126.6300 51.7300  0.6637  0.7340  0.6869  0.6778  0.6252  0.9343
50425 120.1800 50.2500  0.3044  0.7635  0.7692  0.2647  0.2655  0.9692
50431 121.5200 50.7800  0.5202  0.7053  0.6967  0.4454  0.4339  0.9325
50434 121.6800 50.4800  0.5663  0.7827  0.7620  0.5494  0.5296  0.9448
50442 124.1200 50.4000  0.6073  0.7118  0.6884  0.5768  0.5413  0.9511
50445 123.7300 50.5800  0.5970  0.7038  0.6783  0.5876  0.5504  0.9398
50468 127.4500 50.2500  0.4593  0.6620  0.6637  0.4394  0.4339  0.9571
50514 117.3200 49.5800  0.3729  0.7507  0.7346  0.4066  0.4059  0.9753
50524 119.4300 49.3200  0.3694  0.7705  0.7568  0.3756  0.3667  0.9810
50525 119.7500 49.1500  0.3258  0.6792  0.6740  0.2568  0.2593  0.9800
50526 120.7000 49.2800  0.3455  0.7016  0.6937  0.3426  0.3601  0.9771
50527 119.7000 49.2500  0.3220  0.6966  0.6899  0.2837  0.2853  0.9833
50548 123.7200 49.2000  0.5795  0.7076  0.6503  0.5149  0.4926  0.9366
50557 125.2300 49.1700  0.4279  0.6839  0.6747  0.4043  0.4086  0.9738
50564 127.3500 49.4300  0.5224  0.6138  0.5887  0.4944  0.4480  0.9221
50566 128.4700 49.5500  0.5073  0.6265  0.6172  0.4248  0.4029  0.9399
50603 116.8200 48.6700  0.5334  0.6675  0.6783  0.5290  0.5197  0.9767
50618 118.2700 48.2200  0.3908  0.6723  0.6705  0.4314  0.4268  0.9774
50632 121.9200 48.7700  0.5964  0.6601  0.6247  0.5536  0.5456  0.9428
50639 122.7300 48.0000  0.5031  0.7236  0.6807  0.5235  0.5287  0.9489
50645 124.4800 48.4800  0.4615  0.6465  0.6374  0.3751  0.3708  0.9545
50646 124.8500 48.4800  0.4733  0.6308  0.6177  0.3625  0.3742  0.9675
50647 123.4800 48.1300  0.5468  0.6661  0.6583  0.4939  0.5044  0.9608
50655 126.1800 48.5000  0.5049  0.6790  0.6748  0.4334  0.4464  0.9697
50656 126.5000 48.2700  0.5699  0.6313  0.6253  0.4202  0.4302  0.9668
50658 125.8800 48.0500  0.5156  0.6647  0.6506  0.3506  0.3527  0.9631
50659 126.2500 48.0300  0.5295  0.6189  0.6013  0.3575  0.3501  0.9642
50673 130.4000 48.8800  0.5712  0.6253  0.6087  0.4582  0.4246  0.9378
50674 129.4300 48.5700  0.5618  0.6275  0.5935  0.5603  0.5203  0.9395
50727 119.9300 47.1700  0.4645  0.6646  0.6434  0.3836  0.3989  0.9678
50739 123.1800 47.3300  0.5718  0.6870  0.6695  0.5222  0.4971  0.9559
50741 123.5000 47.9300  0.5166  0.6392  0.6301  0.4622  0.4668  0.9580
50742 124.4800 47.8000  0.3984  0.5557  0.5520  0.3768  0.3681  0.9548
50745 123.9200 47.3800  0.5317  0.6500  0.6335  0.4807  0.4662  0.9374
50749 124.8300 47.1800  0.4878  0.6302  0.6224  0.4020  0.3956  0.9547
50750 125.3000 47.9000  0.4537  0.5841  0.5771  0.3478  0.3465  0.9577
50755 126.1000 47.6000  0.5335  0.6681  0.6610  0.4029  0.3862  0.9670
50756 126.9700 47.4500  0.5310  0.6412  0.6138  0.4276  0.4179  0.9568
50758 125.9000 47.1800  0.5538  0.6878  0.6783  0.4181  0.4049  0.9629
50767 127.1000 47.2300  0.5362  0.6416  0.6189  0.4416  0.4332  0.9603
50772 129.2300 48.1000  0.5942  0.5714  0.5349  0.5526  0.5343  0.9249
50774 128.8300 47.7000  0.6780  0.6578  0.6280  0.6170  0.6022  0.9445
50775 130.2700 47.3300  0.5955  0.5945  0.5965  0.4965  0.4559  0.9225
50776 130.8300 47.5700  0.5529  0.6184  0.6373  0.5013  0.4600  0.9338
50778 132.5300 47.6700  0.5036  0.6145  0.5642  0.3766  0.3153  0.8968
50779 134.2800 48.3700  0.4777  0.5525  0.4776  0.3401  0.2029  0.8818
50787 131.8500 47.2800  0.5127  0.6972  0.6500  0.4339  0.4345  0.9189
50788 131.9800 47.2300  0.4956  0.6372  0.5931  0.3982  0.4173  0.9071
50832 122.0800 46.7200  0.4535  0.7228  0.6767  0.4859  0.4898  0.9435
50833 122.9000 46.7200  0.5308  0.6705  0.6385  0.4695  0.4537  0.9414
50834 121.2200 46.6000  0.4965  0.6802  0.6133  0.4883  0.4872  0.9382
50838 122.0500 46.0800  0.5247  0.6582  0.6196  0.4771  0.4673  0.9452
50842 124.4200 46.8300  0.5369  0.6770  0.6399  0.4800  0.4764  0.9470
50844 123.4500 46.4000  0.4482  0.6402  0.5974  0.4090  0.3952  0.9388
50850 125.1300 46.5700  0.5988  0.7407  0.7155  0.5154  0.5388  0.9552
50851 126.0800 46.6800  0.5448  0.7614  0.7449  0.4331  0.4266  0.9627
50852 126.4500 46.8300  0.5124  0.7028  0.6891  0.3875  0.3795  0.9579
50853 126.9700 46.6200  0.5356  0.6048  0.5771  0.3983  0.3857  0.9465
50854 125.3200 46.3800  0.5347  0.7099  0.6874  0.4381  0.4708  0.9517
50858 125.9300 46.0700  0.5663  0.7278  0.6937  0.4344  0.4428  0.9586
50859 126.2700 46.2500  0.5893  0.7427  0.7159  0.4371  0.4578  0.9533
50861 127.4800 46.8800  0.6193  0.6687  0.6530  0.5095  0.5074  0.9539
50862 127.9800 46.9800  0.5488  0.6250  0.5902  0.4531  0.4286  0.9516
50867 127.3500 46.0800  0.5610  0.6244  0.6128  0.3991  0.3893  0.9376
50871 129.8800 46.7300  0.5849  0.6524  0.6361  0.4664  0.4614  0.9280
50873 130.3000 46.7800  0.6112  0.6161  0.6376  0.4733  0.4841  0.9233
50877 129.5800 46.3000  0.5412  0.6049  0.5535  0.4655  0.4557  0.9228
50878 130.7200 47.0000  0.5433  0.5899  0.5866  0.4179  0.3951  0.9001
50879 130.5500 46.2200  0.5915  0.5473  0.5282  0.4382  0.4484  0.9103
50880 131.1200 46.7300  0.6581  0.6421  0.6727  0.5299  0.5217  0.9382
50884 131.1500 46.6300  0.6847  0.6377  0.6689  0.5430  0.5356  0.9511
50888 132.1800 46.3200  0.6375  0.6977  0.6991  0.5644  0.5851  0.9541
50892 134.0000 46.8000  0.5816  0.6172  0.6010  0.4664  0.3648  0.9196
50913 118.8300 45.7200  0.4215  0.6357  0.6131  0.3435  0.3638  0.9814
50915 116.9700 45.5200  0.5423  0.5840  0.5834  0.3376  0.3720  0.9724
50924 119.6700 45.5300  0.4023  0.6167  0.5905  0.2730  0.2908  0.9678
50928 120.3300 45.0700  0.4706  0.6090  0.5666  0.3910  0.3912  0.9375
50934 121.5800 45.3800  0.5869  0.6720  0.6354  0.4916  0.4601  0.9336
50936 122.8300 45.6300  0.5161  0.6386  0.5897  0.4355  0.4317  0.9419
50937 121.4700 45.0500  0.6232  0.6431  0.6044  0.4952  0.4844  0.9281
50939 122.8200 45.3300  0.5548  0.6288  0.5819  0.4285  0.4482  0.9317
50940 123.1700 45.8500  0.5031  0.6225  0.5790  0.4222  0.4427  0.9377
50945 124.2700 45.5000  0.4424  0.6385  0.5929  0.3411  0.3379  0.9336
50946 124.8300 45.1800  0.4933  0.6009  0.5712  0.3631  0.3674  0.9445
50948 124.0200 45.0000  0.4686  0.6474  0.6239  0.3284  0.3655  0.9395
50949 124.8700 45.0800  0.4789  0.6143  0.5888  0.3646  0.3728  0.9523
50950 125.2500 45.7000  0.4871  0.6601  0.6440  0.3995  0.4199  0.9599
50953 126.5700 45.9300  0.6278  0.6705  0.6587  0.4287  0.4513  0.9382
50954 125.0800 45.5000  0.4716  0.5924  0.5720  0.3518  0.3624  0.9514
50955 126.3000 45.3800  0.5757  0.7240  0.6960  0.4780  0.5089  0.9446
50956 126.7700 46.0800  0.5269  0.6598  0.6402  0.3402  0.3499  0.9429
50958 126.9500 45.5200  0.6253  0.6037  0.6098  0.4208  0.4445  0.9371
50960 127.4500 45.7800  0.6074  0.6620  0.6407  0.4857  0.4784  0.9429
50962 128.0300 45.9500  0.5180  0.5625  0.5393  0.4155  0.3832  0.9318
50963 128.7300 45.9700  0.4914  0.6004  0.5752  0.4572  0.4327  0.9301
50964 128.8000 45.8300  0.5074  0.5928  0.5630  0.5124  0.4953  0.9331
50965 128.2800 45.4500  0.5021  0.6187  0.5817  0.4415  0.4323  0.9423
50968 127.9700 45.2200  0.5384  0.6504  0.6081  0.4623  0.4419  0.9474
50971 131.0200 45.7700  0.6349  0.6329  0.6509  0.5542  0.5382  0.9601
50973 130.6000 45.7500  0.5615  0.5923  0.6167  0.5458  0.5297  0.9475
50978 130.9200 45.3000  0.6693  0.6681  0.6722  0.5869  0.5858  0.9658
50979 130.2300 45.2700  0.6084  0.6402  0.6596  0.5315  0.5341  0.9519
50983 132.9700 45.7700  0.5380  0.5258  0.6021  0.4551  0.4885  0.8803
50985 131.8700 45.5500  0.6832  0.6656  0.6599  0.5608  0.5655  0.9460
50987 131.1000 45.2700  0.6509  0.6050  0.6211  0.5474  0.5521  0.9645
