# stid, lon, lat, ec_ncep_cc, ec_cma_cc, ec_jp_cc, ncep_cma_cc, ncep_jp_cc, cma_jp_cc
50136 122.5200 52.9700  0.6542  0.8158  0.7798  0.7003  0.5735  0.8756
50137 122.3700 53.4700  0.7224  0.8222  0.7496  0.6549  0.5069  0.8544
50246 124.7200 52.3500  0.7150  0.7397  0.6696  0.6520  0.5175  0.8433
50247 123.5700 52.0300  0.7254  0.8170  0.7532  0.7380  0.6438  0.8758
50349 124.4000 51.6700  0.7699  0.7767  0.7050  0.7764  0.6759  0.8808
50353 126.6300 51.7300  0.7390  0.8300  0.7475  0.6913  0.5464  0.8796
50425 120.1800 50.2500  0.2711  0.7722  0.7660  0.1982  0.2007  0.9565
50431 121.5200 50.7800  0.5745  0.7336  0.7026  0.5075  0.4501  0.9350
50434 121.6800 50.4800  0.7356  0.8664  0.8483  0.6900  0.6516  0.9637
50442 124.1200 50.4000  0.6219  0.7369  0.6230  0.6456  0.5093  0.8840
50445 123.7300 50.5800  0.7175  0.7732  0.6848  0.6788  0.5656  0.8930
50468 127.4500 50.2500  0.5007  0.6900  0.6901  0.3477  0.2769  0.9106
50514 117.3200 49.5800  0.5807  0.8289  0.7938  0.6179  0.6483  0.9837
50524 119.4300 49.3200  0.5286  0.7796  0.7692  0.4629  0.4954  0.9882
50525 119.7500 49.1500  0.2602  0.6020  0.5811  0.1974  0.2369  0.9769
50526 120.7000 49.2800  0.4806  0.8232  0.8007  0.4389  0.4714  0.9762
50527 119.7000 49.2500  0.2394  0.5885  0.5615  0.1533  0.1918  0.9795
50548 123.7200 49.2000  0.6201  0.7071  0.6377  0.5315  0.4541  0.9369
50557 125.2300 49.1700  0.4193  0.7096  0.6915  0.3738  0.3640  0.9470
50564 127.3500 49.4300  0.4503  0.6163  0.5442  0.3650  0.2680  0.8810
50566 128.4700 49.5500  0.5925  0.7407  0.7048  0.4409  0.3861  0.9088
50603 116.8200 48.6700  0.4931  0.6892  0.5070  0.5842  0.5474  0.8459
50618 118.2700 48.2200  0.3303  0.6323  0.5707  0.2934  0.3679  0.9519
50632 121.9200 48.7700  0.5957  0.6014  0.5386  0.4211  0.3317  0.9318
50639 122.7300 48.0000  0.7197  0.8249  0.7927  0.7106  0.7026  0.9623
50645 124.4800 48.4800  0.5660  0.7011  0.6909  0.5137  0.4842  0.9366
50646 124.8500 48.4800  0.2202  0.5401  0.5342  0.1247  0.0972  0.9338
